原始产品分类,分类规则ID,分类触发词,新一级类,新二级类,新三级类,分类依据,是否建议人工复核,记录数,示例产品名称
豆及豆制品-->发酵豆制品,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,32,白菜腐乳；白菜豆腐乳；马和尚白菜豆腐乳；腐乳(发酵豆制品)(白菜味)；豆腐乳(发酵性豆制品)（白菜味）
餐饮-->蔬菜,CAT_CATERING_VEG,豇豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：豇豆。,否,32,泡豇豆；干豇豆；泡豇豆(自制)；泡豇豆（自制）；自制泡豇豆
调味品-->复合调味料,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,31,麻辣香脆油辣椒；香味油辣椒；辣翻天油炸辣椒(调味料)；调味料(辣椒面油碟)；辣椒油调料(油辣椒)；海南黄灯笼辣椒酱；健裕牌黄灯笼辣椒酱（特辣）；红油辣椒
水果及其制品-->其他类,CAT_FRUIT,桑葚,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：桑葚。,否,30,桑葚；米易桑葚；新鲜桑葚；桑果（桑葚）
餐饮-->蔬菜,CAT_CATERING_VEG,酸菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：酸菜。,否,30,自制泡酸菜；泡酸菜；酸菜；小叶酸菜；自制酸菜；泡酸菜（自制）
淀粉及淀粉制品-->淀粉制品,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,29,土豆粉；土豆粉（湿粉条）；土豆圈圈粉；土豆粉(湿粉条)；黄龙土豆粉条（保鲜湿粉条）；土豆粉丝；土豆珍珠粉条；土豆宽粉
餐饮-->蔬菜,CAT_CATERING_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：辣椒。,否,29,泡辣椒；泡辣椒(自制)；泡辣椒（餐饮自制）；泡辣椒（自制）；泡红辣椒(自制)
特殊膳食食品-->婴幼儿谷物辅助食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,婴幼儿谷物辅助食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,26,有机原味营养面；有机婴幼儿营养玉米米粉(燕麦味)；有机婴幼儿营养小米米粉(玉米南瓜)；牛肉胡萝卜加锌营养米粉；纯营养加铁米粉；胡萝卜营养米粉；益生元加铁营养米粉；亨氏婴儿营养米粉
蔬菜及其制品-->芸豆,CAT_VEG,菜豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：菜豆。,否,26,菜豆；菜豆(大青豆)；大青豆(菜豆)；小金豆(菜豆)
水果及其制品-->橘,CAT_FRUIT,柑,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：柑。,否,25,丑柑(柑橘)；不知火（柑橘）；柑、橘（蜜桔）；柑橘；珍珠蜜桔（柑橘类）；柑橘（砂糖橘）
速冻面米与调制食品-->速冻面米食品,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,25,白菜猪肉水饺；猪肉白菜水饺；王饺子(白菜猪肉)餐饮装；蓉雪水饺(猪肉白菜馅)；手工花边猪肉白菜水饺；猪肉白菜灌汤水饺；小小饺(鲜肉白菜)；大白菜猪肉水饺
餐饮-->蔬菜,CAT_CATERING_VEG,姜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：姜。,否,25,泡姜；泡生姜；泡仔姜(自制)；泡姜(自制)；泡姜（自制）
食品相关产品行业-->工具设备,CAT_REVIEW_OTHER,食品相关产品行业,其他/待复核,食品相关产品行业,工具设备,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,24,厨房小家电；电冰箱、冰柜；电冷热饮水机
餐饮-->蔬菜,CAT_CATERING_VEG,青菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：青菜。,否,24,泡青菜；泡青菜(自制)；泡青菜（自制）；自制泡青菜
罐头食品-->杂粮罐头,CAT_REVIEW_OTHER,罐头食品,其他/待复核,罐头食品,杂粮罐头,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,23,好粥道椰奶燕麦粥；好粥道薏仁红豆粥；八宝粥；燕麦粥；木糖醇低糖莲子八宝粥(罐；桂圆莲子八宝粥罐头；五谷杂粮八宝粥罐头；黑米紫薯粥（粥类罐头）
水果及其制品-->哈密瓜,CAT_FRUIT,哈密瓜,水果及水果制品,鲜食水果,瓜果类,结合原始产品分类与产品名称进行水果细分；触发词：哈密瓜。,否,20,哈密瓜；怡森密瓜（哈密瓜）；财丸蜜瓜；网纹果（哈蜜瓜）；小蜜瓜；Free Fall 自由落体﹣Go With The Flow 哈密瓜
蔬菜及其制品-->其他类蔬菜,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,其他类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,20,冬筍（尖、片、丝）；菜薹；笋子；黄秧白；绿芽；三萘；芽菜；精品箭笋片
调味品-->复合调味料,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,19,番茄沙司；番茄火锅底料(金冠)；品味西域™番茄底料(非即食类半固态复合调味料)；番茄沙司调味酱；番茄底料；钟大哥番茄火锅底料；大块番茄·火锅料（原味）；番茄火锅底料
速冻面米与调制食品-->速冻面米食品,CAT_VEG,韭菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：韭菜。,否,18,猪肉韭菜水饺（速冻面米食品）；韭菜猪肉水饺；韭菜薄脆(速冻食品)；猪肉韭菜灌汤水饺；猪肉韭菜水饺；韭菜鸡蛋（包子）；手功韭菜猪肉水饺（速冻饺子）；饺司令韭菜猪肉饺子
薯类及膨化食品-->膨化食品,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,17,夹心米果卷（番茄披萨味）；大波浪薯片（真浓番茄味）；甘酸番茄味薯片；焙烤薯片(清新番茄味)；番茄果园(油炸型膨化食品)；米格玛番茄披萨味(膨化食品)；番茄果园（油炸型膨化食品）；番茄果园薯片（番茄味）
食品相关产品行业-->食品接触用金属材料及制品,CAT_REVIEW_OTHER,食品相关产品行业,其他/待复核,食品相关产品行业,食品接触用金属材料及制品,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,17,食品用不锈钢制品
水果及其制品-->芒果,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,16,苹果芒(芒果)；苹果芒；苹果芒（芒果）；苹果芒果
豆及豆制品-->豆类,CAT_VEG,豇豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豇豆。,否,16,干豇豆；散干豇豆；豇豆
餐饮-->蔬菜,CAT_CATERING_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：白菜。,否,16,泡白菜；泡莲花白菜；辣白菜；泡白菜（餐饮自制）
乳及乳制品-->其他乳制品,CAT_DAIRY,乳及乳制品,乳及乳制品,其他乳制品,按原始乳品细类,原始分类指向乳及乳制品。,否,15,含牛初乳奶贝；益生元奶酥片(原味)；嚼酸奶（燕麦草莓火龙果味）；牛奶片(草莓口味)；调制乳片（原味）；酸奶味奶酥；益生元酸奶条；原味奶贝
咖啡及咖啡制品-->咖啡及咖啡制品,CAT_REVIEW_OTHER,咖啡及咖啡制品,其他/待复核,咖啡及咖啡制品,咖啡及咖啡制品,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,15,焙炒咖啡豆；焙炒咖啡；品）焙炒咖啡（豆）；烘焙咖啡豆；东鹏大咖咖啡饮料(经典拿铁低糖)；醇香拿铁咖啡饮料；1+2原味即溶咖啡饮品；雀巢咖啡奶香即溶咖啡饮品
特殊膳食食品-->婴幼儿罐装辅助食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,婴幼儿罐装辅助食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,15,苹果蓝莓果汁泥(婴幼儿罐装辅助食品)；婴幼儿果泥(苹果香蕉葡萄)；婴幼儿果泥(苹果西梅)；婴幼儿初果泥（西梅苹果蓝莓味）；有机婴幼儿果泥(蓝莓西梅苹果)；婴幼儿果泥(苹果香蕉味)(婴幼儿罐装辅助食品)；果乐乐山竹荔枝汁(婴幼儿罐装辅助；亨氏苹果西柚泥(婴幼儿罐装辅助食
蔬菜及其制品-->甘蓝,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,15,元白菜（结球甘蓝）；莲花白菜；白菜（结球甘蓝）；圆白菜（结球甘蓝）；圆白菜；结球甘蓝(莲花白菜)；结球甘蓝（莲花白菜）
蛋及蛋制品-->其他蛋制品,CAT_EGG,蛋及蛋制品,蛋及蛋制品,其他蛋制品,按原始蛋类细类,原始分类指向蛋及蛋制品。,否,15,松花蛋肠；全蛋粉；全蛋鸡蛋干（玉米味）；鸡蛋干；沈师傅鸡蛋干（酱香味）；全蛋鸡蛋干（麻辣味）；全蛋鸡蛋干（五香味）；沈师傅鸡蛋干
餐饮-->蔬菜,CAT_CATERING_VEG,咸菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：咸菜。,否,15,老咸菜(餐饮自制)；老咸菜(自制)；老咸菜；咸菜
罐头食品-->水产罐头,CAT_REVIEW_OTHER,罐头食品,其他/待复核,罐头食品,水产罐头,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,14,金奖豆豉鲮鱼罐头食品；凤尾鱼罐头；三和牌豆豉鱼罐头；豆豉鱼罐头；金奖鲜炸鲮鱼（水产动物类罐头）；五香带鱼罐头；三和牌豆豉鲮鱼罐头；粤花牌金装豆豉鲮鱼罐头
蔬菜及其制品-->干燥蔬菜,CAT_VEG,萝卜干,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：萝卜干。,否,14,萝卜干(蔬菜干制品)；散装白萝卜干；萝卜干；萝卜干（蔬菜制品）；散萝卜干；干萝卜干
蔬菜及其制品-->芸豆,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,芸豆,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,14,豆类(芸豆)；豆类（小白芸豆）；无筋豆；小芸豆；大芸豆；白芸豆
餐饮-->蔬菜,CAT_CATERING_VEG,腌,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：腌。,否,14,酱腌萝卜丝；腌萝卜；腌萝卜片；腌包菜；腌笋丝；腌黄瓜；腌萝卜(自制)
粮食及其制品-->其他粮食及其制品,CAT_GRAIN_WHEAT_PRODUCT,面制品,粮食及粮食制品,面制品,其他粮食及其制品,产品名称/原始分类指向面制品。,否,13,荞麦馒头；荞面馒头；玉米自发馒头粉(预拌粉)；玉米自发馒头粉（发酵面制品预拌粉）；荞麦面(生湿面制品)；馒头（自制）（南瓜馒头）；意式面条；苦荞馒头粉
特殊膳食食品-->特殊医学用途非婴儿配方食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,特殊医学用途非婴儿配方食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,11,小佳膳®特殊医学用途全营养配方食品(香草口味)；小佰太能®特殊医学用途全营养配方食品(香草口味)；小佳膳®NUTREN®JUNIOR特殊医学用途全营养配方食品(香草口味)；雅培®全安素®特殊医学用途全营养配方食品(香草味)；小佰太能™特殊医学用途全营养配方食品(香草口味)；小佰太能特殊医学用途全营养配方食品
食品添加剂-->食品添加剂,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,11,食品添加剂辣椒红；食品添加剂辣椒油树脂；食品添加剂辣椒红油；食品添加剂 辣椒红
餐饮-->蔬菜,CAT_CATERING_VEG,干制,蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：干制。,否,11,干木耳（干制食用菌）；细木耳（干制食用菌）；大木耳（干制食用菌）；干制黄瓜条；干制黄花；干制竹笋（蔬菜干制品）
餐饮-->蔬菜,CAT_CATERING_VEG,萝卜干,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：萝卜干。,否,11,萝卜干
淀粉糖-->淀粉糖,CAT_REVIEW_OTHER,淀粉糖,其他/待复核,淀粉糖,淀粉糖,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,10,葡萄糖；旺宝纯正®葡萄糖；旺宝纯净葡萄糖；饴糖(淀粉及淀粉制品)；淀粉糖；纯净葡萄糖；纯净葡萄糖(分装)；旺宝多维葡萄糖
冷冻饮品-->雪泥,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,雪泥,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,9,冰工厂炫菠萝雪泥；脆酸奶(发酵酸奶味雪泥)；芒果口味雪泥；海盐柠檬口味雪泥；冰工厂冰芒四射-雪泥；新疆哈密瓜雪泥；电解质葡萄口味雪泥；脆瓜子雪泥
水果及其制品-->甜瓜,CAT_FRUIT,甜瓜,水果及水果制品,鲜食水果,瓜果类,结合原始产品分类与产品名称进行水果细分；触发词：甜瓜。,否,9,白兰瓜；哈密瓜（甜瓜类）；小蜜（甜瓜）；晓蜜瓜；甜瓜；网纹瓜(甜瓜)
粮食及其制品-->其他粮食及其制品,CAT_GRAIN_RICE,大米,粮食及粮食制品,谷物原粮及初加工,大米,产品名称/原始分类指向大米原粮或初加工品。,否,9,大米（酒米）；黑香米；小香米；竹叶黄粑（糯米制品）
蔬菜及其制品-->其他类,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,其他类,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,9,水煮罗汉笋；珍笋；箭笋；野生绿笋（清水笋）；筒笋；优质玉兰笋；笋尖；黄金笋尖
薯类及膨化食品-->膨化食品,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,膨化食品,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,9,蔬菜春卷（麻辣味）；蔬菜卷(膨化食品(油炸类))；蔬菜卷；浪味仙创意花式薯卷（田园蔬菜味）；蔬菜卷(膨化食品)；波浪蔬菜卷（九蔬味）【膨化食品】；蔬菜卷(直接挤压型膨化食品)
薯类及膨化食品-->膨化食品,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,9,Q土豆片(膨化食品)；爽口土豆片(香辣味)；爽口土豆片(烧烤味)；呀！土豆膨化食品蜂蜜黄油味；呀！土豆膨化食品滋香烤鸡味；米西乐土豆糍粑（椒香黑芝麻味）；酱香土豆；酱香土豆(油炸型膨化食品)
餐饮-->蔬菜,CAT_CATERING_VEG,木耳,蔬菜及蔬菜制品,食用菌,食用菌及其制品（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：木耳。,否,9,干木耳
水果及其制品-->龙眼,CAT_FRUIT,龙眼,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：龙眼。,否,8,龙眼
肉及肉制品-->其他肉制品,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,8,番茄牛肉丝(调理肉制品)；番茄牛排(调理肉制品)；番茄牛排(调理肉制品)(非速冻)；番茄牛排
蔬菜及其制品-->苦瓜,CAT_VEG,苦瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：苦瓜。,否,8,苦瓜；白苦瓜
蜂产品-->其他蜂产品,CAT_HONEY,蜂产品,蜂产品,其他蜂产品,按原始蜂产品细类,原始分类指向蜂产品。,否,8,蜂王浆蜂蜜膏(蜂蜜制品)；秋梨蜜膏；蜜楂动力(蜂产品制品)；蜂巢蜜（蜂产品制品）；蜜楂动力（蜂产品制品）；柠檬蜂蜜汁·蜂蜜制品；巴马蜂巢蜂产品制品
冷冻饮品-->甜味冰,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,甜味冰,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,7,0蔗糖老冰棍(奶味甜味冰)；蓝莓酸奶口味棒冰；绿豆冰沙；雪莲(柠檬味甜味冰)(冷冻饮品)；雪莲(柠檬味甜味冰)；冰工厂清爽蓝莓棒冰；可乐冰球（可乐口味甜味冰）
化妆品-->普通护肤类,CAT_REVIEW_OTHER,化妆品,其他/待复核,化妆品,普通护肤类,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,7,安珂羽思桂花净痘液；玺丝柔补水保湿丝滑海藻面膜；TWG绿茶冰肌清洁泥膜；百诗凯小颗粒海藻王面膜；纯肤翠海藻牛奶润泽面膜；格兰爱苦参碱清肤精华液；WORLD MASK KIND草本靓肤面膜粉
肉及肉制品-->牛副产品,CAT_MEAT,肉及肉制品,肉及肉制品,牛副产品,按原始肉类细类,原始分类指向肉及肉制品。,否,7,牛肝；白千层肚(牛百叶)；黑毛肚
蔬菜及其制品-->花菜,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,花菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,7,有机花菜；花椰菜
速冻面米与调制食品-->速冻面米食品,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,速冻面米食品,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,7,湾仔码头玉米蔬菜猪肉水饺；玉米蔬菜猪肉水饺；手工花边玉米蔬菜猪肉水饺；玉米蔬菜猪肉花边水饺；蔬菜包；蔬菜卷；玉米蔬菜猪肉水饺（速冻食品）
水果及其制品-->李子,CAT_FRUIT,李,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：李。,否,6,李子
水果及其制品-->果酱,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,果酱,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,6,玫瑰果酱；蜂蜜百香果茶(果酱)；今明后什锦果酱；什果果酱；什锦果酱
水果及其制品-->果酱,CAT_FRUIT,草莓,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：草莓。,否,6,草莓果酱
水果及其制品-->石榴,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,石榴,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,6,会理石榴；大田石榴；石榴；酸石榴
焙烤食品-->糕点,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,糕点,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,6,蔬菜春卷（麻辣味）；蔬菜春卷（鸡肉味）；木糖醇蔬菜味薄饼；广式草莓味月饼（蔬菜类）；无加蔗糖多口味蔬菜沙琪玛
罐头食品-->蔬菜罐头,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,蔬菜罐头,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,6,笋丝；鲜苦笋（罐头）；苦笋罐头；芽菜扣肉
蔬菜及其制品-->洋葱,CAT_VEG,葱,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：葱。,否,6,洋葱
餐饮-->蔬菜,CAT_CATERING_VEG,蒜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：蒜。,否,6,泡蒜瓣；泡蒜；自制泡甜蒜
饮料-->咖啡饮料,CAT_BEVERAGE,饮料,饮料,咖啡饮料,按原始饮料细类,原始分类指向饮料。,否,6,丝滑拿铁(咖啡饮料)；贝纳颂咖啡拿铁(咖啡饮料)；咖世家燕麦摩卡咖啡饮料；雅哈冰咖啡咖啡饮料；拿铁咖啡饮料；贝纳颂咖啡拿铁咖啡饮料
方便食品-->方便面,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,5,番茄鸡蛋牛肉面（油炸方便面）；番茄鸡蛋牛面饼+配料肉面；番茄鸡蛋牛肉面；康师傅番茄鸡蛋牛肉面(油炸方便面)；番茄红烩味(油炸方便面)
方便食品-->调味面制品,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,5,亲嘴烧(贵州糊辣椒风味调味面制品)；亲嘴烧（贵州糊辣椒风味调味面制品）
水果及其制品-->其他类,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,其他类,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,5,鲜果；虎皮黄粑；金香角橄榄；二梭子橄榄；大梭子橄榄
油脂及其制品-->食用油脂制品,CAT_OIL,油脂及其制品,食用油、油脂及其制品,食用油脂,食用油脂制品,原始分类指向食用油脂。,否,5,黄油(淡味)；安佳黄油；起酥油；安仕顿黄油；港式大黄油
肉及肉制品-->其他禽肉,CAT_MEAT,肉及肉制品,肉及肉制品,其他禽肉,按原始肉类细类,原始分类指向肉及肉制品。,否,5,信鸽子；三黄鸭；鸽子；鸽子肉；鹅肉
肉及肉制品-->生鲜、冷冻肉,CAT_MEAT,肉及肉制品,肉及肉制品,生鲜、冷冻肉,按原始肉类细类,原始分类指向肉及肉制品。,否,5,乌鸡；杂交鸡；三黄鸡
蔬菜及其制品-->其他类,CAT_VEG,竹笋,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：竹笋。,否,5,冬笋（水煮竹笋）；初生笋花（水煮竹笋）；熊猫笋（水煮竹笋）；初生罗汉笋（水煮竹笋）；通江竹笋
蔬菜及其制品-->豌豆,CAT_VEG,豆角,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豆角。,否,5,食荚豌豆（豌豆角）；豌豆角（食荚豌豆）
蔬菜及其制品-->食用菌制品,CAT_VEG,腌,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：腌。,否,5,香辣味金针菇(腌渍食用菌)；爆炒香菌(腌渍食用菌)；金针菇（烧烤味）腌渍食用菌；金针菇（腌渍食用菌）
乳及乳制品-->稀奶油（淡奶油）及其类似品,CAT_DAIRY,乳及乳制品,乳及乳制品,稀奶油（淡奶油）及其类似品,按原始乳品细类,原始分类指向乳及乳制品。,否,4,特制超级奶油；妙可蓝多稀奶油；稀奶油
水果及其制品-->其他水果制品,CAT_FRUIT,加工水果词,水果及水果制品,水果制品,蜜饯/果干/加工水果,结合原始产品分类与产品名称进行水果细分；触发词：加工水果词。,否,4,曹家梨膏(水果制品)；雪梨膏；桑椹膏；冻干无花果碎(1-3mm)
焙烤食品-->饼干,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,饼干,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,4,多吃点香脆蔬菜饼；素食蔬菜咸味饼干；5种蔬菜饼；味觉蔬菜薄饼
蔬菜及其制品-->丝瓜,CAT_VEG,丝瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：丝瓜。,否,4,丝瓜
蔬菜及其制品-->冷冻蔬菜,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,冷冻蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,4,速冻甜青豆粒；冷冻青豆；速冻青豆仁；速冻青豆粒
薯类及膨化食品-->膨化食品,CAT_VEG,马铃薯,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：马铃薯。,否,4,原切马铃薯片（黄瓜味）；Lay's乐事马铃薯片（黄瓜味）；黄瓜味马铃薯薯片；原切马铃薯片田园番茄味
调味品-->复合调味料,CAT_VEG,蒜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：蒜。,否,4,蒜蓉辣椒酱(半固态调味料)；蒜蓉辣椒酱（半固态调味；蒜蓉辣椒酱（半固态调味料）
食品添加剂-->食品用香精,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,4,食品添加剂辣椒红油香精；食品添加剂炸辣椒油风味油状香精；辣椒油树脂香精（液体香精）
食糖-->其他食糖,CAT_SUGAR,食糖,食糖,其他食糖,按原始食糖细类,原始分类指向食糖。,否,4,纯净方糖；元宝糖（冰片糖）；金黄冰片糖；枣胶黑糖
乳及乳制品-->再制干酪与干酪制品,CAT_DAIRY,乳及乳制品,乳及乳制品,再制干酪与干酪制品,按原始乳品细类,原始分类指向乳及乳制品。,否,3,益生元奶酪棒（草莓味再制干酪）；AD高钙奶酪棒（水果味）（再制干酪）；金装浓醇奶酪棒（原味）
保健食品-->颗粒剂,CAT_HEALTH,保健食品,保健食品,颗粒剂,按原始剂型,原始分类指向保健食品。,否,3,康普力星牌维生素D钙颗粒；阿胶党参颗粒；安琪纽特®康普力星牌补锌颗粒
